date,description,amount,balance
2024-05-28,Invoice Payment,-17320,6434549
2024-05-29,GST Payment,-23064,6411485
2024-05-30,Salary,-67643,6343842
2024-05-31,GST Payment,-27644,6316198
2024-06-01,Salary,94013,6410211
2024-06-02,Loan EMI,114828,6525039
2024-06-03,Loan EMI,116496,6641535
2024-06-04,GST Payment,118177,6759712
2024-06-05,Invoice Payment,-65000,6694712
2024-06-06,Loan EMI,-2208,6692504
2024-06-07,GST Payment,-8353,6684151
2024-06-08,Salary,-61372,6622779
2024-06-09,Vendor Payment,-69860,6552919
2024-06-10,Invoice Payment,86713,6639632
2024-06-11,Invoice Payment,-2810,6636822
2024-06-12,Invoice Payment,-20883,6615939
2024-06-13,Loan EMI,127146,6743085
2024-06-14,Invoice Payment,55817,6798902
2024-06-15,Vendor Payment,93524,6892426
2024-06-16,Client Transfer,-71385,6821041
2024-06-17,Vendor Payment,72599,6893640
2024-06-18,Client Transfer,26638,6920278
2024-06-19,Client Transfer,101017,7021295
2024-06-20,Client Transfer,-23606,6997689
2024-06-21,Loan EMI,148465,7146154
2024-06-22,Invoice Payment,-23253,7122901
2024-06-23,Loan EMI,-74340,7048561
2024-06-24,Salary,22693,7071254
2024-06-25,Invoice Payment,64131,7135385
2024-06-26,Salary,55211,7190596
2024-06-27,GST Payment,124524,7315120
2024-06-28,Vendor Payment,-64794,7250326
2024-06-29,Salary,-77186,7173140
2024-06-30,Salary,84644,7257784
2024-07-01,Invoice Payment,92242,7350026
2024-07-02,Client Transfer,-69588,7280438
2024-07-03,Loan EMI,55277,7335715
2024-07-04,GST Payment,-65409,7270306
2024-07-05,Invoice Payment,-41449,7228857
2024-07-06,Client Transfer,8324,7237181
2024-07-07,Salary,28466,7265647
2024-07-08,Invoice Payment,66285,7331932
2024-07-09,GST Payment,-20376,7311556
2024-07-10,Invoice Payment,106857,7418413
2024-07-11,GST Payment,-21333,7397080
2024-07-12,Salary,-75310,7321770
2024-07-13,Loan EMI,40279,7362049
2024-07-14,GST Payment,93358,7455407
2024-07-15,GST Payment,7918,7463325
2024-07-16,GST Payment,20962,7484287
2024-07-17,Client Transfer,43579,7527866
2024-07-18,Client Transfer,103325,7631191
